"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
4,15,1e-06,"gaussian","double","double",0.635322586077856,197.659914956223,9.99999999730434e-07,2267192.06257936,0.0109999999999992,464
5,15,1e-06,"gaussian","double","double",0.67696210671514,201.514385242281,9.99999999880673e-07,2413274.45393426,0.0129999999999999,465
6,15,1e-06,"gaussian","double","double",0.642912668127664,192.492513920861,9.99999999831491e-07,2766178.71839396,0.016,466
7,15,1e-06,"gaussian","double","double",0.703548239221079,188.673772730897,9.99999999855803e-07,2556703.89735376,0.0660000000000007,467
8,15,1e-06,"gaussian","double","double",0.68595877968897,193.066466654401,9.99999999858595e-07,2920779.05287461,0.0210000000000008,468
9,15,1e-06,"gaussian","double","double",0.750886558490095,184.911824332963,9.99999999763853e-07,2661388.77950236,0.0749999999999993,469
10,15,1e-06,"gaussian","double","double",0.723715012305831,177.860046238701,9.99999999824401e-07,2668059.19514596,0.043000000000001,470
1,15,1e-06,"gaussian","single","double",0.71897043948595,175.81769683136,9.99999999744175e-07,2334963.73691821,0.0370000000000008,471
2,15,1e-06,"gaussian","single","double",0.722519209574248,180.049138139701,9.99999999715053e-07,2831499.63912957,0.020999999999999,472
3,15,1e-06,"gaussian","single","double",0.665856518702173,183.439123201534,9.99999999772125e-07,3162161.75250483,0.146000000000001,473
4,15,1e-06,"gaussian","single","double",0.59569827481872,205.570767102342,9.99999999860312e-07,2325620.23625979,0.0779999999999994,474
5,15,1e-06,"gaussian","single","double",0.671556893066494,200.378336761653,9.99999999823631e-07,2542408.86368812,0.0340000000000007,475
6,15,1e-06,"gaussian","single","double",0.702542316756186,194.160064355583,9.99999999808582e-07,2880120.50813573,0.195,476
7,15,1e-06,"gaussian","single","double",0.70993928448294,169.227379654595,9.99999999809452e-07,2856468.52198351,0.032,477
8,15,1e-06,"gaussian","single","double",0.655173680454859,182.676624100613,9.99999999857096e-07,2257710.92479845,0.0140000000000011,478
9,15,1e-06,"gaussian","single","double",0.679195118065428,175.320784005197,9.99999999751441e-07,3955712.09801065,0.0139999999999993,479
10,15,1e-06,"gaussian","single","double",0.711040121789232,180.195856380501,9.99999999834711e-07,2736914.61322959,0.0139999999999993,480
1,20,0.01,"gaussian","double","double",0.768391068392302,1.31610691206522,0.0099999999999998,230.375309410393,0.0119999999999987,481
2,20,0.01,"gaussian","double","double",0.5908525893257,1.16682931910998,0.00999999999999979,248.356240426122,0.0250000000000004,482
3,20,0.01,"gaussian","double","double",0.658343950556674,1.33759098575342,0.00999999999999988,214.585128933939,0.0279999999999987,483
4,20,0.01,"gaussian","double","double",0.666865479288369,1.24896682467096,0.00999999999999991,308.709729808649,0.0339999999999989,484
5,20,0.01,"gaussian","double","double",0.676745249776848,1.26204456088601,0.00999999999999981,245.515989165689,0.0250000000000004,485
6,20,0.01,"gaussian","double","double",0.786103549701058,1.23041168012824,0.00999999999999983,282.203161950522,0.0190000000000001,486
7,20,0.01,"gaussian","double","double",0.610055228229498,1.27259815690271,0.00999999999999988,285.598685745231,0.0150000000000006,487
8,20,0.01,"gaussian","double","double",0.711054929133125,1.28136526970363,0.00999999999999987,268.355032543479,0.0169999999999995,488
9,20,0.01,"gaussian","double","double",0.696065975599538,1.3801971202563,0.00999999999999984,186.494193457333,0.0120000000000005,489
10,20,0.01,"gaussian","double","double",0.681856586083644,1.29584812229925,0.00999999999999988,287.139605332235,0.0140000000000011,490
1,20,0.01,"gaussian","single","double",0.5882111771035,1.47614751337619,0.00999999999999988,195.6021868102,0.00900000000000034,491
2,20,0.01,"gaussian","single","double",0.742674350424894,1.23799477776406,0.00999999999999984,216.955379426932,0.0370000000000008,492
