"s","sketch_prec","solve_prec","trial","residual_ratio","solution_error","condition_number"
100,"bfloat16","double",14,1.1290933097144,0.0121218093056249,3.8626702105163
100,"bfloat16","double",15,1.08666291269683,0.00952632649761774,4.01131036833256
100,"bfloat16","double",16,1.12393865923519,0.011577256796026,3.74433860416908
100,"bfloat16","double",17,1.08116893081437,0.00912566755485077,4.15875280879093
100,"bfloat16","double",18,1.07313875475445,0.00829470046330342,4.45567978440598
100,"bfloat16","double",19,1.21514878072988,0.0163917933937734,4.2853218740165
100,"bfloat16","double",20,1.18446110556169,0.0144175914300248,4.43163764404669
200,"double","double",1,1.05326162132289,0.00752542869262206,3.76919165357556
200,"double","double",2,1.03226895260828,0.005559614429832,3.07353467818767
200,"double","double",3,1.03346040920988,0.00581148309576623,2.88014374953345
200,"double","double",4,1.05685077596486,0.00729362586935535,2.91271308424762
200,"double","double",5,1.0587940652378,0.0077198904376828,2.90140703155207
200,"double","double",6,1.0389811200845,0.00662483992085997,2.98780157733991
200,"double","double",7,1.04141339198596,0.00678405249039583,3.43120650490119
200,"double","double",8,1.06607606691768,0.00839938789187606,3.28410126442282
200,"double","double",9,1.02371518510817,0.00499030207393928,3.4633038682651
200,"double","double",10,1.06904391985414,0.00820010365407368,3.05673774118913
200,"double","double",11,1.02736662206398,0.00530902449555342,3.02747769207617
200,"double","double",12,1.05927621211577,0.00744046088625051,3.34043633332289
200,"double","double",13,1.05146008987895,0.00716648845573824,3.18754080380683
200,"double","double",14,1.02733275738656,0.00520245338303194,2.91643641391468
200,"double","double",15,1.043930694909,0.00682183684429811,2.96125529563024
200,"double","double",16,1.04914270225676,0.00720063423282727,2.99848872323444
200,"double","double",17,1.03767042353487,0.00610221900284747,3.05516520192134
200,"double","double",18,1.0878173198568,0.00920970054882586,2.9255009670267
200,"double","double",19,1.09144070950608,0.0101315799403867,2.9100721630179
200,"double","double",20,1.05819707655983,0.00758181040309817,3.03187421994645
200,"single","double",1,1.05888689930453,0.00778989283976265,3.17812234052916
200,"single","double",2,1.07224616740933,0.00907142981913961,3.32161762092827
200,"single","double",3,1.05294359907814,0.00764428310391646,2.92359431395579
200,"single","double",4,1.03970511855687,0.00613507547403469,2.96280070823565
200,"single","double",5,1.03979723595358,0.00616580368720977,3.4408921617936
200,"single","double",6,1.08762772609048,0.00929142653310483,3.27520105462881
200,"single","double",7,1.04089142877496,0.0064935524624679,2.98589115566069
200,"single","double",8,1.04778138647273,0.00698998688084831,3.18031992267816
200,"single","double",9,1.03909118095284,0.00639487131613486,3.50609269844349
200,"single","double",10,1.04899758134887,0.00750976934088825,3.28145668376111
200,"single","double",11,1.05792881072923,0.00757455903138789,2.87095442693185
200,"single","double",12,1.04604293242369,0.00691547974631366,2.87239249272427
200,"single","double",13,1.03270335685864,0.00564496237172783,3.2801089207511
200,"single","double",14,1.04222692058448,0.00664120142109987,3.42952429220268
200,"single","double",15,1.03263180393659,0.00555937546660406,3.23102130031237
200,"single","double",16,1.05143705171854,0.0073128974739702,3.08844751182177
200,"single","double",17,1.02505660133772,0.00497169177339707,3.37133143024273
200,"single","double",18,1.10220644096798,0.0108356847222757,2.99775898214653
200,"single","double",19,1.0662869917711,0.00828456174463399,3.28365298300493
200,"single","double",20,1.04805914906132,0.00731489297676328,3.01702873766248
200,"half","double",1,1.05524725388592,0.0077487647487414,3.09355579881436
200,"half","double",2,1.05326731606783,0.00729576222746571,3.3031616896032
200,"half","double",3,1.08323904533603,0.00965702282188016,3.26704642207294
200,"half","double",4,1.05298302099639,0.00713568741772109,3.17702066982151
200,"half","double",5,1.04790932417179,0.00731794763055118,2.70778205439665
200,"half","double",6,1.05517588442768,0.00750830683056095,3.24401356187444
200,"half","double",7,1.07851280817896,0.00892886033211794,2.85886716959131
200,"half","double",8,1.0445291068147,0.00711185318275244,3.67195744500937
200,"half","double",9,1.05348977440992,0.00749203215102456,2.83652956661972
200,"half","double",10,1.11816827089762,0.0108682755702809,2.85508021879789
200,"half","double",11,1.03079588899407,0.00584142535895435,3.13990578086594
200,"half","double",12,1.04175360703443,0.00646410479743885,3.10324335719507
200,"half","double",13,1.03252198508761,0.00533838070431442,2.94503060756186
200,"half","double",14,1.05807610639904,0.00776506140320187,2.76052963007129
200,"half","double",15,1.04770317936334,0.00701764729630171,3.46921431299606
200,"half","double",16,1.0298190966822,0.00583958865086071,2.93605526737683
200,"half","double",17,1.042801564249,0.00686129278725844,3.01088253608741
200,"half","double",18,1.04144931854201,0.00642099745294267,3.64081556136084
200,"half","double",19,1.02969457912103,0.0055422793188738,2.96462971719495
200,"half","double",20,1.04281655716476,0.00645480678245567,2.83831519962336
200,"bfloat16","double",1,1.0287072821801,0.00518689380856475,3.11887546442713
200,"bfloat16","double",2,1.04429338699616,0.00681976831405013,3.09449449563198
200,"bfloat16","double",3,1.05428823458583,0.00783863102958578,3.1220613355494
200,"bfloat16","double",4,1.08544002364782,0.00904427277090525,3.57876123062274
200,"bfloat16","double",5,1.08913279187403,0.00948689800798969,3.18328913857619
200,"bfloat16","double",6,1.04485429491046,0.00649621408778613,3.30406554053585
200,"bfloat16","double",7,1.06043768395121,0.00808990339035478,3.46225704996192
200,"bfloat16","double",8,1.07709689490116,0.0089998298226663,3.41707773453385
200,"bfloat16","double",9,1.06154658075168,0.00770672347371737,3.12391756325717
200,"bfloat16","double",10,1.05696011783498,0.00794097871861483,2.79861090822058
200,"bfloat16","double",11,1.10292376165848,0.0105135657481584,2.98111611913682
200,"bfloat16","double",12,1.05988564172248,0.00743163055079417,3.05395977692102
200,"bfloat16","double",13,1.07379571177508,0.00923603271907006,2.8772373958425
200,"bfloat16","double",14,1.05292047713773,0.00721715688769793,3.15161372006642
200,"bfloat16","double",15,1.0620080276878,0.00804094482114586,3.69746065193054
200,"bfloat16","double",16,1.03311111107205,0.00592163970076815,2.9802251689395
200,"bfloat16","double",17,1.05365501710539,0.00726482995388013,2.77940241132028
200,"bfloat16","double",18,1.06561414914699,0.00823426674982653,3.02453942890715
200,"bfloat16","double",19,1.08161118538601,0.00956932419859687,3.67007195875241
200,"bfloat16","double",20,1.0458161549394,0.0070256788158942,2.99296258709277
