"cond_num","s","trial","solution_error","residual_norm","condition_number"
10000,50,15,1.61256561712412e-13,5.20070444829492e-12,24351.8887284981
10000,50,16,3.8117198113184e-13,6.29030104466132e-12,34565.9841395746
10000,50,17,3.64942724951089e-13,3.69384680897336e-12,36281.4498756188
10000,50,18,5.75450667035473e-14,3.68322868088825e-12,25305.7781404348
10000,50,19,1.64570310413533e-13,5.65995793873695e-12,22913.2033138141
10000,50,20,2.92749719864349e-13,6.18094791446228e-12,30525.6313818144
10000,100,1,2.2670556665162e-13,5.48712228472772e-12,26975.5006331075
10000,100,2,2.43600949289321e-13,4.30604433384502e-12,19835.5190273397
10000,100,3,2.36810716892046e-13,4.9820827634842e-12,24349.7598453257
10000,100,4,9.64489087963181e-14,3.54247421297727e-12,24358.9262762813
10000,100,5,8.4587341431557e-14,4.88983771476807e-12,29291.5096569477
10000,100,6,1.31432924097772e-13,2.84649530263648e-12,24086.4777208802
10000,100,7,2.05072370493594e-13,4.08383007945362e-12,22659.8190946932
10000,100,8,1.92691700725268e-13,3.98734780242951e-12,25978.9197140853
10000,100,9,1.04542923600705e-13,2.47046472199898e-12,26517.0185735904
10000,100,10,9.72813690246576e-14,3.62036864015996e-12,29858.3519821668
10000,100,11,3.91891525148469e-13,6.71998492326956e-12,35656.7446118509
10000,100,12,1.68337671822491e-13,2.78338962413978e-12,22387.9639587991
10000,100,13,7.89894345997691e-14,3.20379338710782e-12,23567.5127974209
10000,100,14,1.21210456485968e-13,2.96741353759727e-12,22681.4674931297
10000,100,15,1.02314924783028e-13,5.20044111912169e-12,26196.6542051426
10000,100,16,5.56806787752169e-14,3.0889512374666e-12,28076.0929899924
10000,100,17,1.1321701725827e-13,3.95702933715055e-12,26534.8563630165
10000,100,18,1.62796524551866e-13,3.57677466728643e-12,29052.1985573079
10000,100,19,1.48357520478014e-13,3.37632495399538e-12,21026.467041336
10000,100,20,1.12415168965035e-13,4.36947965049272e-12,25974.7800635772
10000,200,1,1.50731149379539e-13,2.68926345670091e-12,25798.8073172896
10000,200,2,8.43424601718999e-14,3.62932264710958e-12,24833.461613483
10000,200,3,1.1593646598891e-13,2.71913063485137e-12,23660.6466312523
10000,200,4,4.51818487823261e-14,2.46359881066859e-12,22649.3727049292
10000,200,5,4.19889811841753e-14,4.02060153404849e-12,27909.0225903451
10000,200,6,7.29376899420505e-14,3.90645546559063e-12,24218.6008278742
10000,200,7,8.66597950173224e-14,4.39946752069611e-12,21328.0689359417
10000,200,8,1.15920222357761e-13,3.20746892740001e-12,20960.8465681315
10000,200,9,1.04637342108827e-13,3.46098685584558e-12,28082.1990232797
