"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
15,10,1e-06,"independent",1.57510990716481,1.53298268822057,3.00239674942847e-17,11.6203051259419,11.9494827072486,0.0760000000000001,220.284253430341
16,10,1e-06,"independent",1.44520726174976,1.40774648379581,3.00239674942847e-17,11.398747980017,13.2057604755069,0.0800000000000001,220.284253430341
17,10,1e-06,"independent",1.60937510967216,1.59490782625763,3.00239674942847e-17,10.9341733572646,12.0289288525375,0.0680000000000001,220.284253430341
18,10,1e-06,"independent",1.4547140600047,1.42680199296341,3.00239674942847e-17,13.4191730556794,10.2634262220525,0.0899999999999999,220.284253430341
19,10,1e-06,"independent",1.56422708813925,1.52061989300973,3.00239674942847e-17,11.7253391585653,9.93565557264428,0.0780000000000003,220.284253430341
20,10,1e-06,"independent",1.59123445401955,1.55354701053179,3.00239674942847e-17,14.3299953510495,12.3702259238077,0.0670000000000002,220.284253430341
1,10,0.01,"shared",1.54193514525775,1.51202598104089,3.00239674942847e-17,10.4723352950301,11.3868776111632,0.0720000000000001,2.06266356305451
2,10,0.01,"shared",1.50014589454619,1.46315066985623,3.00239674942847e-17,11.1470926978334,13.9342263102655,0.0660000000000003,2.06266356305451
3,10,0.01,"shared",1.54798084180254,1.51528400996667,3.00239674942847e-17,13.8861841139757,9.95155261388883,0.0710000000000002,2.06266356305451
4,10,0.01,"shared",1.53150767531849,1.50641843770692,3.00239674942847e-17,9.91392935755031,13.2717586395718,0.0720000000000001,2.06266356305451
5,10,0.01,"shared",1.53559966195713,1.497097972429,3.00239674942847e-17,13.312518587811,11.661963457231,0.0740000000000003,2.06266356305451
6,10,0.01,"shared",1.467295453148,1.43813510757338,3.00239674942847e-17,10.9794036457467,12.3943618236109,0.073,2.06266356305451
7,10,0.01,"shared",1.55072188327065,1.52169463093436,3.00239674942847e-17,12.3573229943058,10.9652532397701,0.0760000000000001,2.06266356305451
8,10,0.01,"shared",1.50144956385359,1.46803078805356,3.00239674942847e-17,11.1799821432347,10.0428053972736,0.0709999999999997,2.06266356305451
9,10,0.01,"shared",1.54472088632231,1.52590902490085,3.00239674942847e-17,10.027318490171,11.2882610940217,0.0720000000000001,2.06266356305451
10,10,0.01,"shared",1.50560682956379,1.46520710617726,3.00239674942847e-17,11.6850530274886,10.7818476580796,0.0839999999999996,2.06266356305451
11,10,0.01,"shared",1.51018581500241,1.47235840092001,3.00239674942847e-17,10.8525357585514,11.0932917471448,0.0630000000000006,2.06266356305451
12,10,0.01,"shared",1.5164971542374,1.47393765668375,3.00239674942847e-17,11.2716750227154,11.3595656886258,0.0759999999999996,2.06266356305451
13,10,0.01,"shared",1.41882784809252,1.38457270058423,3.00239674942847e-17,11.4466749662927,12.1799227598557,0.0750000000000002,2.06266356305451
14,10,0.01,"shared",1.51240156127939,1.48089761244506,3.00239674942847e-17,11.5843023563418,11.9550996025926,0.0739999999999998,2.06266356305451
15,10,0.01,"shared",1.47162374134446,1.44420078952958,3.00239674942847e-17,11.8665261584073,11.1384498350455,0.0860000000000003,2.06266356305451
16,10,0.01,"shared",1.47066351715764,1.44555088959412,3.00239674942847e-17,11.1747060613419,11.7529889468561,0.0809999999999995,2.06266356305451
17,10,0.01,"shared",1.56892266318241,1.53924687644686,3.00239674942847e-17,11.6775604960817,10.5321088902826,0.0679999999999996,2.06266356305451
18,10,0.01,"shared",1.52158941970346,1.50104026486219,3.00239674942847e-17,10.5627092862124,12.9382711180371,0.0599999999999996,2.06266356305451
19,10,0.01,"shared",1.51815510301241,1.48689997562394,3.00239674942847e-17,13.1984172102928,12.5119289983151,0.0650000000000004,2.06266356305451
20,10,0.01,"shared",1.45138976099006,1.42958007575288,3.00239674942847e-17,12.545695690111,12.3476392522695,0.0799999999999992,2.06266356305451
1,10,0.01,"independent",1.40899826199385,1.38433918261487,3.00239674942847e-17,12.0905779981869,12.2091748847051,0.0670000000000002,2.06266356305451
2,10,0.01,"independent",1.49252896449573,1.46914332662696,3.00239674942847e-17,11.7917846899991,10.2316672891696,0.0720000000000001,2.06266356305451
3,10,0.01,"independent",1.52480838882807,1.50500908832544,3.00239674942847e-17,9.42448707019945,11.809517291894,0.0779999999999994,2.06266356305451
4,10,0.01,"independent",1.55548578768238,1.52453134411644,3.00239674942847e-17,11.4227237052433,11.5830123471242,0.0880000000000001,2.06266356305451
5,10,0.01,"independent",1.54942322997604,1.51574965287621,3.00239674942847e-17,10.7008342450816,12.2248499720024,0.0810000000000004,2.06266356305451
6,10,0.01,"independent",1.47773672628743,1.45356509743762,3.00239674942847e-17,11.6827527580965,12.3054566660344,0.0800000000000001,2.06266356305451
7,10,0.01,"independent",1.48589350287089,1.46212266433513,3.00239674942847e-17,12.9136017201135,10.2814602429316,0.0760000000000005,2.06266356305451
8,10,0.01,"independent",1.50455028209425,1.48175370146481,3.00239674942847e-17,10.8778425181494,9.1184897974976,0.0859999999999994,2.06266356305451
9,10,0.01,"independent",1.45623583653819,1.42003292120515,3.00239674942847e-17,10.2864072816249,12.957209609718,0.093,2.06266356305451
